suit,card,question a,answer a,question b,answer b
S,Ace,"You are in a room with three light switches, each controlling one of three light bulbs in the next room. You can only enter the bulb room once. How do you determine which switch controls which bulb?","Flip switch 1 on for a few minutes, then turn it off. Turn switch 2 on and leave it on. Enter the room. The bulb that is on is switch 2, the one that is warm but off is switch 1, and the cold one is switch 3.","A man is on an island with a fox, a chicken, and a bag of grain. He has a boat that can only carry himself and one other item. How does he get everything across without the fox eating the chicken or the chicken eating the grain?","Take chicken over. Return. Take fox over. Bring chicken back. Take grain over. Return. Take chicken over."
S,King,"If a snail climbs 5 feet up a 20-foot wall during the day and slips back 4 feet at night, how many days does it take for the snail to reach the top?","16 days. (On day 16, it starts at 15 feet and climbs 5 feet to reach the top and doesn't slip back).","What is the angle between the hour and minute hands of a clock at 3:15?","7.5 degrees."
S,Queen,"You have a 3-gallon jug and a 5-gallon jug. How can you measure out exactly 4 gallons of water?","Fill the 5-gallon jug and pour it into the 3-gallon jug, leaving 2 gallons in the 5-gallon jug. Empty the 3-gallon jug. Pour the 2 gallons from the 5 into the 3. Fill the 5-gallon jug again and pour from it to fill the remaining 1-gallon space in the 3-gallon jug, leaving exactly 4 gallons in the 5-gallon jug.","If 2 cats can catch 2 mice in 2 minutes, how long will it take 100 cats to catch 100 mice?","2 minutes. (It takes one cat 2 minutes to catch one mouse)."
S,Jack,"A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?","1/3. (The possible combinations are BB, BG, GB. Since one is a boy, GG is eliminated).","What three positive numbers give the same result when multiplied and added together?","1, 2, and 3. (1+2+3=6 and 1*2*3=6)."
S,10,"How many sides does a heptagon have?","7.","What goes on four feet in the morning, two feet at noon, and three feet in the evening?","Man (crawls as a baby, walks as an adult, uses a cane in old age)."
S,9,"What is the square root of 144?","12.","What is it that lives if it is fed, and dies if you give it a drink?","Fire."
S,8,"What is 9 * 9 - 1?","80.","Forward I am heavy, but backward I am not. What am I?","A ton."
S,7,"How many vertices does a cube have?","8.","Poor people have it. Rich people need it. If you eat it you die. What is it?","Nothing."
S,6,"What is 5! (5 factorial)?","120 (5 * 4 * 3 * 2 * 1).","What has a bottom at the top?","Your legs."
S,5,"What is 25 * 4?","100.","What can travel around the world while staying in a corner?","A stamp."
S,4,"How many inches are in a foot?","12.","David's father has three sons: Snap, Crackle, and who?","David."
S,3,"What is the next prime number after 7?","11.","What has words, but never speaks?","A book."
S,2,"How many sides does a triangle have?","3.","What is black when you buy it, red when you use it, and gray when you throw it away?","Charcoal."
D,Ace,"Explain the concept of 'memoization' in dynamic programming.","An optimization technique where you cache the results of expensive function calls and return the cached result when the same inputs occur again.","What is the 'SOLID' principle in software design?","An acronym for five design principles: Single responsibility, Open-closed, Liskov substitution, Interface segregation, and Dependency inversion."
D,King,"What is the difference between a stack and a queue data structure?","A stack is Last-In, First-Out (LIFO), while a queue is First-In, First-Out (FIFO).","In the context of APIs, what does 'idempotent' mean?","An operation is idempotent if making the same request multiple times produces the same result as making it once (e.g., a PUT or DELETE request)."
D,Queen,"What is a 'pointer' in programming languages like C++?","A variable that stores the memory address of another variable.","What is the purpose of an 'index' in a database?","To speed up the retrieval of records from a database file."
D,Jack,"What does the command `git merge` do?","It integrates changes from another branch into the current branch.","What is a 'compiler'?","A program that translates code written in a high-level language into a lower-level language (like machine code) that a computer can execute."
D,10,"What is the `else if` statement used for in programming?","To check for a new condition if the first condition is false.","What is 'recursion'?","A method of solving a problem where the solution depends on solutions to smaller instances of the same problem."
D,9,"What does the acronym 'JSON' stand for?","JavaScript Object Notation.","In web development, what is the 'DOM'?","Document Object Model - a programming interface for web documents."
D,8,"What is the difference between `let` and `const` in JavaScript?","`let` allows a variable to be reassigned, while `const` does not.","What is an 'array'?","A data structure that can store a collection of elements of the same type."
D,7,"Which tag is used to define the main content of an HTML document?","The `<body>` tag.","What does the term 'bug' mean in software development?","An error, flaw or fault in a computer program."
D,6,"What does the 'src' attribute specify in an HTML `<img>` tag?","The URL (source) of the image.","What is 'pseudocode'?","An informal, high-level description of the operating principle of a computer program or other algorithm."
