suit,card,question a,answer a,question b,answer b
S,Ace,"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?","The ball costs $0.05 (5 cents).","A farmer has 17 sheep, and all but 9 die. How many are left?","9 sheep are left."
S,King,"What is the next number in the sequence: 1, 4, 9, 16, 25, __?","36 (They are the squares of consecutive numbers: 6^2).","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A map."
S,Queen,"A shirt priced at $40 is on sale for 25% off. What is the sale price?","$30.","A doctor gives you 3 pills to take one every half hour. How long will they last?","One hour. (You take the first now, the second in 30 mins, the third in 60 mins)."
S,Jack,"What is the area of a right triangle with sides of length 3, 4, and 5?","6 square units. (Area = 1/2 * base * height = 1/2 * 3 * 4).","What has an eye, but cannot see?","A needle."
S,10,"If you travel 180 miles in 3 hours, what is your average speed?","60 miles per hour.","What comes once in a minute, twice in a moment, but never in a thousand years?","The letter 'M'."
S,9,"Solve for x: 3x + 5 = 20.","x = 5.","What has to be broken before you can use it?","An egg."
S,8,"What is 15% of 200?","30.","What is always in front of you but can’t be seen?","The future."
S,7,"A square has an area of 49 square units. What is its perimeter?","28 units. (Each side is 7, so 7 * 4 = 28).","A plane crashes on the US-Canada border. Where are the survivors buried?","You don't bury survivors."
S,6,"What is the sum of the first 10 positive integers (1+2+3...+10)?","55.","Which is heavier: a pound of feathers or a pound of gold?","Neither, they weigh the same."
S,5,"If a pizza has 8 slices and you eat 3, what fraction of the pizza is left?","5/8.","How many months have 28 days?","All 12 of them."
S,4,"What is 5 factorial (5!)?","120 (5 * 4 * 3 * 2 * 1).","What has a neck but no head?","A bottle."
S,3,"What is 100 - 7 * 7?","51.","If a rooster lays an egg on a pointed roof, which way does it roll?","It doesn't. Roosters don't lay eggs."
S,2,"What is 12 * 12?","144.","If you have a bowl with 6 apples and you take away 4, how many do you have?","You have the 4 that you took."
D,Ace,"Describe the steps you would take to determine if two words, like ""listen"" and ""silent,"" are anagrams of each other.","You can sort the letters of each word alphabetically. If the sorted versions are identical, they are anagrams.","If a function calls itself to solve a smaller version of the same problem, what is this technique called?","Recursion."
D,King,"Imagine you have two empty buckets that operate like stacks (last-in, first-out). How could you use them to manage a line of people, which is a queue (first-in, first-out)?","People ""enqueue"" by going into the first bucket. To ""dequeue,"" you pour everyone from the first bucket into the second one (which reverses the order), and then take the top person from the second bucket.","If you're searching for a name in a sorted phone book by always opening to the middle, what is this efficient search method called?","Binary Search."
D,Queen,"What is the final result of this process: start with an empty stack. Push the number 5. Push the number 8. Pop a number and add it to 3.","11. (8 is popped off the stack, and 8 + 3 = 11).","Using an analogy, explain the difference between checking if two variables have the same value versus pointing to the exact same object.","It's the difference between checking if two boxes each contain a red ball (same value) versus checking if they are the exact same box (same object/identity)."
D,Jack,"If you have a list of numbers like [2, 5, 3, 2, 5], describe a simple method to get a new list with no duplicates.","Create a new, empty list. Go through the original list one by one, and if you see a number you haven't already added to the new list, add it.","Using the analogy of building a house, what are the different jobs of HTML, CSS, and JavaScript for a website?","HTML is the frame and structure (the walls and rooms). CSS is the decoration (the paint color, furniture). JavaScript provides the functionality (the plumbing, electricity, opening doors)."
D,10,"Imagine you are reading a sentence. What logical steps do you follow to find the longest word?","You would look at each word, one at a time, keeping track of the longest one you've seen so far. If you find a new word that is longer, you replace the one you were tracking.","What is the programming concept for having a 'plan B' for a piece of code that might fail or cause an error?","Error handling (or exception handling)."
D,9,"If a program needs a random whole number between 1 and 6, what real-world object could it imitate?","A six-sided die.","Using an analogy, what's the difference between a 'mutable' and an 'immutable' collection?","A mutable collection is like a shopping list on a whiteboard that you can change. An immutable collection is like a signed contract where the terms cannot be changed."
D,8,"If a variable `x` starts at 0, what is its final value after this loop runs: ""Repeat 5 times: add 3 to x""?","15. (3+3+3+3+3).","What is a ""boolean""?","A value that can only be True or False."
D,7,"Describe what a ""for loop"" does in simple terms.","It repeats an action a specific number of times or for each item in a list.","What does the modulo operator give you?","The remainder after a division."
D,6,"What general operation would you use to find out how many items are in a collection, like a list of names?","A count or length operation.","What is the difference between an integer and a float?","An integer is a whole number, while a float has a decimal point."
